URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
http://techcrunch.com/,Complete,200,http,GET,text/html; charset=UTF-8,,,,13 Nov 2014 13:42:37,13 Nov 2014 13:42:37,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,583,0,198,206,49.030807,142.4992,379,,546,28346,,83.4%
http://r-login.wordpress.com/remote-login.php?action=js&host=techcrunch.com&id=24588526&t=1415882394&back=http%253A%252F%252Ftechcrunch.com%252F,Complete,200,http,GET,text/javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,167,0,0,85,3.5904753,Infinity,455,,159,0,,
http://s0.wp.com/_static/?%3F-eJx9kOFuwjAMhF9owXTQ8QvxLGlqEoMTR41LtbdfCtooQuu%2FO%2Bs%2B%2B2SYsnGSFJNCHE3m0VMqwHTFAhfUbN3V3N3GlfIBi3jH4p%2BAeI%2B9jGrOwiwTTNR71DdoccPJgHUes9U5EbEni4yxxtawmL9%2BqVmGWvC9m4a6p8CNMii64IYxuWA%2Bt80Oin4zbiKlB0SQRKly5U%2BsXfcohsVZJUkvxpzZ0rCGDjh%2FrEoPNbWw%2F7UPe%2FAsneU5cIrHZt%2B0h9320LaXH8RIorU=,Complete,200,http,GET,text/css;charset=utf-8,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,265,0,183,43,549.25934,792.01355,630,,322,148095,,60.1%
http://s0.wp.com/wp-content/themes/vip/techcrunch-2013/assets/images/logo.svg,Complete,200,http,GET,image/svg+xml,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,304,0,1,39,3.7809675,746.0937,413,,342,422,,53.7%
http://s1.wp.com/_static/?%3F-eJyNkF1OxDAMhC%2BENy2LhHhAnKVN3dQhiUPsbLScnoBY8VdpebLl%2BTwj27QMlpNiUuPFRJ4pIFTBMrk%2BA0orH7zcmM5RsqEuKO%2Bgf6lYzp%2FlKgCRXJkUD5HSBf6Wmlk0okiP3FF%2FRlE6EbarmEfNk32GgkKvf1znwA5yqI6SmN47XLgqrBwCN9Nocah7R0lbefZo9behbtgPMCfKRtFuttRkN7gdxqOZRFA%2FtgPN8KXu%2FeJfNo7Zhcsrn%2BLjeDcOx4fxfhj8G6UIq0I=,Complete,200,http,GET,application/x-javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,189,0,114,39,332.19144,545.43585,619,,323,63349,,67.5%
http://o.aolcdn.com/os_merge/?file=%2Faol%2Fbeacon.min.js&file=%2Faol%2Fomniture.min.js,Complete,200,http,GET,application/javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,191,0,41,62,140.12904,643.31647,398,,329,26680,,60.7%
http://0.gravatar.com/js/gprofiles.js?ver=201446x,Complete,200,http,GET,application/x-javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,93,0,3,47,80.89718,2388.0208,368,,345,6991,,67.4%
http://s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1380573781g,Complete,200,http,GET,application/x-javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,93,0,0,50,10.973202,Infinity,402,,321,322,,44.7%
http://s2.wp.com/wp-content/js/devicepx.js?m=1399919068g,Complete,200,http,GET,application/x-javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,94,0,1,51,37.40027,3149.4138,375,,322,2903,,68.8%
http://platform.twitter.com/widgets.js?ver=20111117,Complete,200,http,GET,application/javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,329,0,160,129,323.9546,663.8733,370,,362,108407,,
http://s2.wp.com/_static/?%3F-eJyVjUEOgjAQRS9kGQpq3BjPAmVCp9Kx6Uwh3t5gJG4Mibuf%2FLz3YEnGPViRFWIxaSojsYAupIrZ9FPn7j3lwSRCSMgD8VgFOcA%2FHOOM%2BTerHiMKzJRgc6QiviQI26oi8U6yMSsc3g7TcTc9lZzsdBSdd7mw86apbQudCKqshu%2Fzad7i1R7t6dLU7dmGF9D6bvA=,Complete,200,http,GET,application/x-javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,133,0,39,52,127.650665,421.72476,543,,323,16519,,67.0%
http://stats.wp.com/w.js?24=,Complete,200,http,GET,application/x-javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,102,0,1,52,20.1057,1712.8905,346,,260,1494,,65.1%
http://tctechcrunch2011.files.wordpress.com/2014/11/youtube-music-key.jpg?w=474&h=350&crop=1,Complete,200,http,GET,image/jpeg,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,182,0,78,52,222.80649,514.52325,428,,311,40785,,
http://o.aolcdn.com/os_merge/?file=%2Fmoat%2Fprod%2Fmoatuac.js&file=%2Fads%2FadsWrapper.js,Complete,200,http,GET,application/javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,76,0,27,48,519.03015,1446.5422,399,,326,39668,,57.0%
http://www.google-analytics.com/ga.js,Complete,200,http,GET,text/javascript,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,237,0,54,51,69.20408,297.29092,356,,376,16063,,60.7%
http://tctechcrunch2011.files.wordpress.com/2014/11/header1.jpg?w=145&h=90&crop=1,Complete,200,http,GET,image/jpeg,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,114,0,17,47,277.29236,1835.5353,417,,311,31642,,
http://tctechcrunch2011.files.wordpress.com/2014/11/dsc06021.jpg?w=145&h=90&crop=1,Complete,200,http,GET,image/jpeg,,,,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,13 Nov 2014 13:42:38,224,0,101,59,213.41377,469.2721,418,,311,48223,,
